,"rep(""Inputs"", times = nrow(path_table))",V1,V2,pathString,description
1,Inputs,catchts,boundary.ts,Inputs/catchts/boundary.ts,Blank catch file for use with boundary boxes
2,Inputs,catchts,catch1.ts,Inputs/catchts/catch1.ts,Historical catch time series file for box 1
3,Inputs,catchts,catch2.ts,Inputs/catchts/catch2.ts,Historical catch time series file for box 2
4,Inputs,catchts,catch3.ts,Inputs/catchts/catch3.ts,Historical catch time series file for box 3
5,Inputs,catchts,catch4.ts,Inputs/catchts/catch4.ts,Historical catch time series file for box 4
6,Inputs,catchts,catch5.ts,Inputs/catchts/catch5.ts,Historical catch time series file for box 5
7,Inputs,essential_optional_files,Biology.prm,Inputs/essential_optional_files/Biology.prm,"*Set up ecological parameters, etc"
8,Inputs,essential_optional_files,Fisheries.csv,Inputs/essential_optional_files/Fisheries.csv,"*Fisheries name, recreation info, etc"
9,Inputs,essential_optional_files,Forcings.prm,Inputs/essential_optional_files/Forcings.prm,*Lays out the forcing file pathways 
10,Inputs,essential_optional_files,Functional_groups.csv,Inputs/essential_optional_files/Functional_groups.csv,"*Biological, fishing, and management info"
11,Inputs,essential_optional_files,Geography.bgm,Inputs/essential_optional_files/Geography.bgm,*Geometry of boxes 
12,Inputs,essential_optional_files,Harvest.prm,Inputs/essential_optional_files/Harvest.prm,Fisheries and management parameters
13,Inputs,essential_optional_files,Initial_condition.cdf,Inputs/essential_optional_files/Initial_condition.cdf,Convert .nc toreadable and editable file
14,Inputs,essential_optional_files,Initial_condition.nc,Inputs/essential_optional_files/Initial_condition.nc,*Initial biomass and age structure 
15,Inputs,essential_optional_files,Physics.prm,Inputs/essential_optional_files/Physics.prm,*Physics parameters 
16,Inputs,essential_optional_files,Run_settings.prm,Inputs/essential_optional_files/Run_settings.prm,"*Time setp, run and stop time, etc"
17,Inputs,forcisets,pCO2RCP85.ts,Inputs/forcisets/pCO2RCP85.ts,pCO2 data time series 
18,Inputs,forcisets,SETAS_pH.nc,Inputs/forcisets/SETAS_pH.nc,pH data for physics submodel
19,Inputs,forcisets,SETAS_VMPAArsenic.nc,Inputs/forcisets/SETAS_VMPAArsenic.nc,Contaminants tracer of functional groups
20,Inputs,forcisets,SETAS_VMPAhydroA.nc,Inputs/forcisets/SETAS_VMPAhydroA.nc,*Hyrodynamics forcing input file
21,Inputs,forcisets,SETAS_VMPAhydroB.nc,Inputs/forcisets/SETAS_VMPAhydroB.nc,*Hyrodynamics forcing input file
22,Inputs,forcisets,SETAS_VMPAhydroC.nc,Inputs/forcisets/SETAS_VMPAhydroC.nc,*Hyrodynamics forcing input file
23,Inputs,forcisets,SETAS_VMPAhydroD.nc,Inputs/forcisets/SETAS_VMPAhydroD.nc,*Hyrodynamics forcing input file
24,Inputs,forcisets,SETAS_VMPAhydroE.nc,Inputs/forcisets/SETAS_VMPAhydroE.nc,*Hyrodynamics forcing input file
25,Inputs,forcisets,SETAS_VMPAoxygen.cdf,Inputs/forcisets/SETAS_VMPAoxygen.cdf,Convert .nc to readable and editable file
26,Inputs,forcisets,SETAS_VMPAoxygen.nc,Inputs/forcisets/SETAS_VMPAoxygen.nc,Oxygen data 
27,Inputs,forcisets,SETAS_VMPAsalt.nc,Inputs/forcisets/SETAS_VMPAsalt.nc,Salinity data 
28,Inputs,forcisets,SETAS_VMPAtemp.cdf,Inputs/forcisets/SETAS_VMPAtemp.cdf,Convert .nc to readable and editable file
29,Inputs,forcisets,SETAS_VMPAtemp.nc,Inputs/forcisets/SETAS_VMPAtemp.nc,Temperature data
30,Inputs,forcisets,solar9195.ts,Inputs/forcisets/solar9195.ts,Solar radiation data
31,Inputs,meteor,84-95.nc,Inputs/meteor/84-95.nc,Evaporation data
32,Inputs,meteor,times1.6.nc,Inputs/meteor/times1.6.nc,Precipitation data
